x;y;z;
-0.065; 0.951; 0.985;
 0.842; 0.957;-0.382;
 0.842; 0.957;-0.382;
 0.484; 0.881;-0.453;
 0.425; 0.897;-0.041;
 0.425; 0.897;-0.041;
-0.356; 0.706;-0.479;
 0.380; 0.823; 0.833;
 0.380; 0.823; 0.833;
 0.285; 0.915;-0.183;
 0.831; 0.108;-0.301;
 0.831; 0.108;-0.301;
 0.512; 0.891;-0.379;
-0.536; 0.974;-0.464;
-0.536; 0.974;-0.464;
 0.648; 0.621; 0.636;
-0.568; 0.965;-0.601;
-0.568; 0.965;-0.601;
 0.247; 0.985; 0.467;
 0.247; 0.985; 0.467;
 0.812; 0.817; 0.581;
 0.988; 0.644; 0.450;
 0.988; 0.644; 0.450;
-0.383; 0.741;-0.224;
 0.882; 0.575; 0.000;
 0.882; 0.575; 0.000;
-0.689; 0.993; 0.033;
-0.689; 0.993; 0.033;
 0.491; 0.681; 0.245;
 0.738; 0.959;-0.514;
 0.738; 0.959;-0.514;
-0.106; 0.789; 0.768;
-0.421; 0.242; 0.952;
-0.421; 0.242; 0.952;
-0.996; 0.921; 0.106;
-0.385; 0.925; 0.156;
-0.385; 0.925; 0.156;
-0.374; 0.849; 0.685;
-0.490; 0.830;-0.071;
-0.490; 0.830;-0.071;
 0.653; 0.770;-0.029;
 0.653; 0.770;-0.029;
-0.602; 0.933; 0.985;
-0.634; 0.700; 0.345;
-0.634; 0.700; 0.345;
 0.997; 0.937;-0.498;
-0.683; 0.492; 0.642;
-0.683; 0.492; 0.642;
 0.547; 0.855; 0.600;
 0.086; 0.816;-0.568;
 0.086; 0.816;-0.568;
 0.260; 0.952;-0.943;
 0.260; 0.952;-0.943;
-0.096; 0.916;-0.685;
-0.994; 0.716; 0.272;
-0.994; 0.716; 0.272;
-0.459; 0.647; 0.592;
 0.657; 0.945; 0.812;
 0.657; 0.945; 0.812;
-0.410; 0.754; 0.692;
 0.365; 0.954; 0.882;
 0.365; 0.954; 0.882;
-0.715; 0.107; 0.757;
-0.715; 0.107; 0.757;
 0.058; 0.715; 0.117;
 0.634; 0.182;-0.605;
 0.634; 0.182;-0.605;
 0.212; 0.955;-0.363;
-0.072; 0.817;-0.897;
-0.072; 0.817;-0.897;
 0.264; 0.739;-0.128;
 0.264; 0.739;-0.128;
 0.996; 0.931;-0.615;
 0.249; 0.912;-0.430;
 0.249; 0.912;-0.430;
 0.428; 0.818;-0.845;
 0.428; 0.818;-0.845;
 0.781; 0.550; 0.020;
-0.556; 0.652;-0.534;
-0.556; 0.652;-0.534;
