x;y;z;
-0.103;-0.577;-0.873;
 0.273;-0.590;-0.820;
 0.322;-0.542;-0.972;
 0.777;-0.515;-0.975;
 0.777;-0.515;-0.975;
 0.887;-0.569;-0.764;
 0.086;-0.526;-0.841;
 0.086;-0.526;-0.841;
 0.414;-0.515;-0.728;
 0.767;-0.248;-0.367;
 0.767;-0.248;-0.367;
 0.894;-0.210;-0.403;
 0.882;-0.324;-0.083;
 0.882;-0.324;-0.083;
 0.780;-0.319;-0.158;
 0.604;-0.404;-0.996;
 0.604;-0.404;-0.996;
 0.424;-0.397;-0.107;
 0.155;-0.443;-0.080;
 0.155;-0.443;-0.080;
 0.760;-0.469;-0.123;
 0.267;-0.460;-0.229;
 0.267;-0.460;-0.229;
-0.040;-0.517;-0.068;
-0.041;-0.520;-0.059;
-0.615;-0.502;-0.054;
-0.902;-0.474;-0.068;
-0.405;-0.507;-0.762;
-0.405;-0.507;-0.762;
-0.766;-0.513;-0.524;
-0.213;-0.550;-0.973;
-0.213;-0.550;-0.973;
-0.109;-0.571;-0.985;
-0.109;-0.571;-0.985;
-0.351;-0.561;-0.747;
-0.211;-0.615;-0.627;
-0.235;-0.629;-0.505;
-0.235;-0.629;-0.505;
-0.290;-0.593;-0.650;
-0.933;-0.647;-0.786;
-0.933;-0.647;-0.786;
-0.178;-0.586;-0.830;
-0.925;-0.586;-0.094;
-0.925;-0.586;-0.094;
-0.673;-0.632;-0.099;
-0.673;-0.632;-0.099;
-0.512;-0.587;-0.407;
-0.218;-0.606;-0.497;
-0.967;-0.626;-0.529;
-0.967;-0.626;-0.529;
-0.788;-0.567;-0.799;
-0.475;-0.582;-0.818;
-0.475;-0.582;-0.818;
-0.287;-0.598;-0.790;
-0.287;-0.598;-0.790;
 0.088;-0.547;-0.973;
 0.458;-0.617;-0.701;
 0.458;-0.617;-0.701;
 0.618;-0.614;-0.678;
 0.924;-0.568;-0.753;
 0.924;-0.568;-0.753;
 0.371;-0.567;-0.566;
 0.703;-0.526;-0.520;
 0.703;-0.526;-0.520;
